Table 1:  Labour Force Survey Summary:  People by economic activity for those aged 16 and over and those aged from 16 to 64 (seasonally adjusted),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Date of publication:,2024-10-15 00:00:00,,,,Date of next publication:,2024-11-12 00:00:00,,,,,,,,,,,,
Inquiries: Email: ,labour.market@ons.gov.uk ,,,,Telephone:,Tel: 01633 455400,,,,,,,,,,,,Source: Labour Force Survey
United Kingdom (thousands) seasonally adjusted,,,,,,,,,,,,,,,,,,
,All aged 16 & over,,,,,,,,,All aged 16 to 64,,,,,,,,
,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity,Employment,Unemployment,Economic inactivity,All aged 16 to 64,Total economically active ,Total in employment,Unemployed,Economically inactive,Economic activity,Employment,Unemployment,Economic inactivity
,level,level,level,level,level,rate (%),rate (%),rate (%),rate (%),level,level,level,level,level,rate (%),rate (%),rate (%),rate (%)
Dataset identifier code,MGSL,COPY,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC,LF2O,LF2K,LF2G,LF2I,LF2M,LF22,LF24,LF2Q,LF2S
,,,,,,,,,,,,,,,,,,
Jan-Mar 1971,40513000,25593000,24613000,980000,14919000,63.2,60.8,3.8,36.8,33559000,25187000,24219000,967000,8373000,75.1,72.2,3.8,24.9
Feb-Apr 1971,40531000,25573000,24575000,998000,14959000,63.1,60.6,3.9,36.9,33565000,25172000,24187000,985000,8393000,75,72.1,3.9,25
Mar-May 1971,40550000,25582000,24559000,1023000,14968000,63.1,60.6,4,36.9,33570000,25180000,24171000,1009000,8390000,75,72,4,25
Apr-Jun 1971,40568000,25600000,24556000,1045000,14968000,63.1,60.5,4.1,36.9,33576000,25199000,24168000,1031000,8377000,75.1,72,4.1,24.9
May-Jul 1971,40587000,25603000,24541000,1062000,14984000,63.1,60.5,4.1,36.9,33581000,25202000,24153000,1049000,8380000,75,71.9,4.2,25
