,inflation,government_expenditure,Rate,employment,balance_of_payments,gdp
1997-04-01,2.1,24697.0,5.94,70.9,-956,401790
1997-05-01,2.1,24882.0,6.25,71.0,-956,401790
1997-06-01,2.1,26728.0,6.5,70.9,-956,401790
1997-07-01,2.4,25821.0,6.75,70.9,-190,405233
1997-08-01,2.3,25954.0,7.0,71.1,-190,405233
1997-09-01,2.2,26236.0,7.0,71.1,-190,405233
1997-10-01,2.2,25317.0,7.0,71.2,-959,411352
1997-11-01,2.1,26012.0,7.25,71.2,-959,411352
1997-12-01,1.9,28049.0,7.25,71.2,-959,411352
1998-01-01,1.8,26733.0,7.25,71.2,-3051,414377
1998-02-01,1.8,28036.0,7.25,71.3,-3051,414377
1998-03-01,1.9,28896.0,7.25,71.3,-3051,414377
1998-04-01,2.1,26191.0,7.25,71.3,-1973,416909
1998-05-01,2.2,26347.0,7.25,71.3,-1973,416909
1998-06-01,1.9,26066.0,7.5,71.4,-1973,416909
1998-07-01,1.7,26177.0,7.5,71.6,1921,418294
1998-08-01,1.6,26633.0,7.5,71.6,1921,418294
1998-09-01,1.7,26515.0,7.5,71.6,1921,418294
1998-10-01,1.6,27384.0,7.25,71.8,289,421074
1998-11-01,1.7,26729.0,6.75,71.8,289,421074
1998-12-01,1.9,28229.0,6.25,71.9,289,421074
1999-01-01,2.0,27908.0,6.0,71.9,-7205,423875
1999-02-01,1.9,27961.0,5.5,71.9,-7205,423875
1999-03-01,2.1,28945.0,5.5,71.8,-7205,423875
1999-04-01,2.0,26803.0,5.25,71.8,-5572,425920
1999-05-01,1.7,26623.0,5.25,71.9,-5572,425920
1999-06-01,1.8,26815.0,5.0,71.9,-5572,425920
1999-07-01,1.7,27412.0,5.0,72.0,-5876,432860
1999-08-01,1.6,27919.0,5.0,72.1,-5876,432860
1999-09-01,1.6,27876.0,5.25,72.1,-5876,432860
1999-10-01,1.5,28666.0,5.25,72.2,-3408,439093
1999-11-01,1.5,28650.0,5.5,72.3,-3408,439093
1999-12-01,1.5,28105.0,5.5,72.2,-3408,439093
2000-01-01,1.2,28887.0,5.75,72.2,-4345,444540
2000-02-01,1.2,28571.0,6.0,72.3,-4345,444540
2000-03-01,1.0,29128.0,6.0,72.3,-4345,444540
2000-04-01,0.9,32523.0,6.0,72.4,-4320,447825
2000-05-01,1.0,20256.0,6.0,72.5,-4320,447825
2000-06-01,1.2,32175.0,6.0,72.6,-4320,447825
2000-07-01,1.2,32184.0,6.0,72.7,-5540,450688
2000-08-01,1.0,33384.0,6.0,72.6,-5540,450688
2000-09-01,1.3,23311.0,6.0,72.5,-5540,450688
2000-10-01,1.4,29793.0,6.0,72.4,-5952,453447
2000-11-01,1.5,29659.0,6.0,72.5,-5952,453447
2000-12-01,1.2,30915.0,6.0,72.7,-5952,453447
2001-01-01,1.2,31335.0,6.0,72.6,-2867,457680
2001-02-01,1.2,30386.0,5.75,72.6,-2867,457680
2001-03-01,1.3,30713.0,5.75,72.7,-2867,457680
2001-04-01,1.5,30207.0,5.5,72.7,-6063,459620
2001-05-01,1.9,31568.0,5.25,72.7,-6063,459620
2001-06-01,1.9,30161.0,5.25,72.6,-6063,459620
2001-07-01,1.7,31442.0,5.25,72.6,-6020,462016
2001-08-01,2.1,29087.0,5.0,72.5,-6020,462016
2001-09-01,1.7,31401.0,4.75,72.5,-6020,462016
2001-10-01,1.6,31750.0,4.5,72.6,-5374,463404
2001-11-01,1.2,30814.0,4.0,72.6,-5374,463404
2001-12-01,1.4,34477.0,4.0,72.5,-5374,463404
2002-01-01,1.8,34360.0,4.0,72.5,-5286,464698
2002-02-01,1.7,32520.0,4.0,72.5,-5286,464698
2002-03-01,1.7,33350.0,4.0,72.6,-5286,464698
2002-04-01,1.6,33607.0,4.0,72.6,-8095,466935
2002-05-01,1.2,35506.0,4.0,72.7,-8095,466935
2002-06-01,1.1,30567.0,4.0,72.6,-8095,466935
2002-07-01,1.4,33658.0,4.0,72.7,-4657,470277
2002-08-01,1.3,32742.0,4.0,72.6,-4657,470277
2002-09-01,1.2,35123.0,4.0,72.7,-4657,470277
2002-10-01,1.5,32760.0,4.0,72.8,-5475,473899
2002-11-01,1.6,35249.0,4.0,72.9,-5475,473899
2002-12-01,1.7,34836.0,4.0,72.8,-5475,473899
2003-01-01,1.4,35821.0,4.0,72.6,-2772,477357
2003-02-01,1.6,34985.0,3.75,72.7,-2772,477357
2003-03-01,1.6,38991.0,3.75,72.7,-2772,477357
2003-04-01,1.5,35797.0,3.75,72.8,-6437,481552
2003-05-01,1.3,38024.0,3.75,72.9,-6437,481552
2003-06-01,1.2,37254.0,3.75,72.8,-6437,481552
2003-07-01,1.3,36725.0,3.5,72.8,-8690,485973
2003-08-01,1.4,36626.0,3.5,72.8,-8690,485973
2003-09-01,1.3,37910.0,3.5,72.8,-8690,485973
2003-10-01,1.3,35836.0,3.5,72.8,-5042,490059
2003-11-01,1.3,36167.0,3.75,72.8,-5042,490059
2003-12-01,1.3,40540.0,3.75,73.0,-5042,490059
2004-01-01,1.5,38285.0,3.75,73.0,-7605,492014
2004-02-01,1.4,37174.0,4.0,73.0,-7605,492014
2004-03-01,1.2,40491.0,4.0,73.0,-7605,492014
2004-04-01,1.1,40153.0,4.0,72.9,-7988,494824
2004-05-01,1.4,41237.0,4.25,72.9,-7988,494824
2004-06-01,1.5,35962.0,4.5,72.8,-7988,494824
2004-07-01,1.4,37531.0,4.5,72.8,-10642,496642
2004-08-01,1.4,40596.0,4.75,72.9,-10642,496642
2004-09-01,1.2,41191.0,4.75,72.9,-10642,496642
2004-10-01,1.3,36404.0,4.75,73.0,-4210,499020
2004-11-01,1.5,41806.0,4.75,73.0,-4210,499020
2004-12-01,1.8,42485.0,4.75,73.1,-4210,499020
2005-01-01,1.7,38943.0,4.75,73.2,-6652,502702
2005-02-01,1.7,42701.0,4.75,73.1,-6652,502702
2005-03-01,2.0,44828.0,4.75,72.9,-6652,502702
2005-04-01,1.9,38688.0,4.75,72.9,-2411,506906
2005-05-01,1.9,44297.0,4.75,72.9,-2411,506906
2005-06-01,2.0,39656.0,4.75,73.0,-2411,506906
2005-07-01,2.3,40922.0,4.75,73.0,-9655,511132
2005-08-01,2.4,41639.0,4.5,73.0,-9655,511132
2005-09-01,2.5,43346.0,4.5,72.9,-9655,511132
2005-10-01,2.4,40895.0,4.5,72.8,-9228,515935
2005-11-01,2.2,44116.0,4.5,72.7,-9228,515935
2005-12-01,2.1,44461.0,4.5,72.8,-9228,515935
2006-01-01,2.2,42023.0,4.5,72.8,-11775,518495
2006-02-01,2.2,44255.0,4.5,72.9,-11775,518495
2006-03-01,2.0,46510.0,4.5,72.9,-11775,518495
2006-04-01,2.2,45414.0,4.5,72.8,-10672,520318
2006-05-01,2.4,45054.0,4.5,72.8,-10672,520318
2006-06-01,2.6,44181.0,4.5,72.9,-10672,520318
2006-07-01,2.5,43127.0,4.5,73.0,-12423,521780
2006-08-01,2.6,43909.0,4.75,72.8,-12423,521780
2006-09-01,2.5,46576.0,4.75,72.8,-12423,521780
2006-10-01,2.5,41864.0,4.75,72.7,-11061,524569
2006-11-01,2.8,44427.0,5.0,72.7,-11061,524569
2006-12-01,2.9,47185.0,5.0,72.6,-11061,524569
2007-01-01,2.7,43937.0,5.25,72.5,-14795,529398
2007-02-01,2.7,44106.0,5.25,72.5,-14795,529398
2007-03-01,2.9,49668.0,5.25,72.5,-14795,529398
2007-04-01,2.7,45388.0,5.25,72.7,-10880,533187
2007-05-01,2.5,48300.0,5.5,72.7,-10880,533187
2007-06-01,2.5,45449.0,5.5,72.6,-10880,533187
2007-07-01,2.0,46166.0,5.75,72.6,-17079,537052
2007-08-01,2.0,46500.0,5.75,72.7,-17079,537052
2007-09-01,2.0,49337.0,5.75,72.8,-17079,537052
2007-10-01,2.3,45924.0,5.75,72.8,-14843,540258
2007-11-01,2.2,48005.0,5.75,72.9,-14843,540258
2007-12-01,2.3,49385.0,5.5,72.9,-14843,540258
2008-01-01,2.4,47485.0,5.5,73.0,-13871,542804
2008-02-01,2.6,47489.0,5.25,73.0,-13871,542804
2008-03-01,2.6,57535.0,5.25,73.0,-13871,542804
2008-04-01,3.0,50691.0,5.0,73.0,-17021,539918
2008-05-01,3.3,50439.0,5.0,72.9,-17021,539918
2008-06-01,3.7,49024.0,5.0,72.8,-17021,539918
2008-07-01,4.2,47784.0,5.0,72.6,-14337,531619
2008-08-01,4.4,48419.0,5.0,72.4,-14337,531619
2008-09-01,4.8,55321.0,5.0,72.3,-14337,531619
