"Title","CG: Total expenditure: £mn: NSA"
"CDID","DU3N"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","m"
"Release date","22-10-2024"
"Next release","21 November 2024"
"Important notes",
"1946","3905"
"1947","3335"
"1948","3452"
"1949","3708"
"1950","3669"
"1951","4489"
"1952","4874"
"1953","5095"
"1954","5075"
"1955","5178"
"1956","5684"
"1957","5904"
"1958","6284"
"1959","6638"
"1960","7097"
"1961","7621"
"1962","8107"
"1963","8880"
"1964","8999"
"1965","10598"
"1966","10950"
"1967","12571"
"1968","14125"
"1969","16244"
"1970","16680"
"1971","18428"
"1972","21410"
"1973","24278"
"1974","29995"
"1975","40582"
"1976","48603"
"1977","53806"
"1978","61743"
"1979","71859"
"1980","88003"
"1981","105998"
"1982","114759"
"1983","123685"
"1984","134001"
"1985","144647"
"1986","151523"
"1987","160987"
"1988","167757"
"1989","181643"
"1990","217225"
"1991","239621"
"1992","268653"
"1993","279030"
"1994","289739"
"1995","303913"
"1996","311329"
"1997","315379"
"1998","323936"
"1999","333683"
"2000","350786"
"2001","373341"
"2002","404278"
"2003","444676"
"2004","473315"
"2005","504492"
"2006","534525"
"2007","562165"
"2008","607094"
"2009","647559"
"2010","682462"
"2011","684395"
"2012","703544"
"2013","702509"
"2014","725892"
"2015","729516"
"2016","737192"
"2017","759069"
"2018","778674"
"2019","801745"
"2020","997861"
"2021","988958"
"2022","1026674"
"2023","1138255"
"1946 Q1","940"
"1946 Q2","989"
"1946 Q3","986"
"1946 Q4","990"
"1947 Q1","830"
"1947 Q2","833"
"1947 Q3","835"
"1947 Q4","837"
"1948 Q1","862"
"1948 Q2","862"
"1948 Q3","861"
"1948 Q4","867"
"1949 Q1","926"
"1949 Q2","925"
"1949 Q3","928"
"1949 Q4","929"
"1950 Q1","917"
"1950 Q2","916"
"1950 Q3","918"
"1950 Q4","918"
"1951 Q1","1112"
"1951 Q2","1111"
"1951 Q3","1115"
"1951 Q4","1151"
"1952 Q1","1216"
"1952 Q2","1217"
"1952 Q3","1219"
"1952 Q4","1222"
"1953 Q1","1274"
"1953 Q2","1273"
"1953 Q3","1273"
"1953 Q4","1275"
"1954 Q1","1269"
"1954 Q2","1270"
"1954 Q3","1267"
"1954 Q4","1269"
"1955 Q1","1319"
"1955 Q2","1181"
"1955 Q3","1305"
"1955 Q4","1373"
"1956 Q1","1410"
"1956 Q2","1397"
"1956 Q3","1407"
"1956 Q4","1470"
"1957 Q1","1496"
"1957 Q2","1435"
"1957 Q3","1455"
"1957 Q4","1518"
"1958 Q1","1582"
"1958 Q2","1530"
"1958 Q3","1563"
"1958 Q4","1609"
"1959 Q1","1640"
"1959 Q2","1648"
"1959 Q3","1640"
"1959 Q4","1710"
"1960 Q1","1752"
"1960 Q2","1751"
"1960 Q3","1763"
"1960 Q4","1831"
"1961 Q1","1872"
"1961 Q2","1876"
"1961 Q3","1919"
"1961 Q4","1954"
"1962 Q1","2061"
"1962 Q2","1949"
"1962 Q3","1997"
"1962 Q4","2100"
"1963 Q1","2114"
"1963 Q2","2033"
"1963 Q3","2125"
"1963 Q4","2608"
"1964 Q1","2309"
"1964 Q2","2154"
"1964 Q3","2252"
"1964 Q4","2284"
"1965 Q1","2485"
"1965 Q2","2468"
"1965 Q3","2539"
"1965 Q4","3106"
"1966 Q1","2725"
"1966 Q2","2642"
"1966 Q3","2730"
"1966 Q4","2853"
"1967 Q1","3108"
"1967 Q2","2974"
"1967 Q3","3155"
"1967 Q4","3334"
"1968 Q1","3651"
"1968 Q2","3383"
"1968 Q3","3513"
"1968 Q4","3578"
"1969 Q1","3794"
"1969 Q2","3521"
"1969 Q3","3732"
"1969 Q4","5197"
"1970 Q1","4061"
"1970 Q2","3938"
"1970 Q3","4139"
"1970 Q4","4542"
"1971 Q1","4534"
"1971 Q2","4403"
"1971 Q3","4611"
"1971 Q4","4880"
"1972 Q1","5344"
"1972 Q2","5001"
"1972 Q3","5182"
"1972 Q4","5883"
"1973 Q1","5909"
"1973 Q2","5571"
"1973 Q3","5908"
"1973 Q4","6890"
"1974 Q1","7082"
"1974 Q2","6702"
"1974 Q3","7776"
"1974 Q4","8435"
"1975 Q1","9726"
"1975 Q2","9497"
"1975 Q3","10498"
"1975 Q4","10861"
"1976 Q1","12339"
"1976 Q2","11651"
"1976 Q3","12106"
"1976 Q4","12507"
"1977 Q1","13342"
"1977 Q2","13009"
"1977 Q3","13275"
"1977 Q4","14180"
"1978 Q1","15476"
"1978 Q2","14842"
"1978 Q3","15343"
"1978 Q4","16082"
"1979 Q1","17259"
"1979 Q2","17457"
"1979 Q3","17858"
"1979 Q4","19285"
"1980 Q1","21068"
"1980 Q2","21298"
"1980 Q3","22418"
"1980 Q4","23219"
"1981 Q1","25604"
"1981 Q2","24874"
"1981 Q3","26158"
"1981 Q4","29362"
"1982 Q1","28687"
"1982 Q2","27436"
"1982 Q3","28671"
"1982 Q4","29965"
"1983 Q1","31120"
"1983 Q2","30081"
"1983 Q3","30939"
"1983 Q4","31545"
"1984 Q1","34466"
"1984 Q2","32511"
"1984 Q3","32807"
"1984 Q4","34217"
"1985 Q1","37638"
"1985 Q2","34843"
"1985 Q3","35349"
"1985 Q4","36817"
"1986 Q1","38371"
"1986 Q2","36961"
"1986 Q3","37662"
"1986 Q4","38529"
"1987 Q1","40232"
"1987 Q2","39511"
"1987 Q3","40149"
"1987 Q4","41095"
"1988 Q1","43257"
"1988 Q2","40433"
"1988 Q3","40778"
"1988 Q4","43289"
"1989 Q1","44959"
"1989 Q2","44266"
"1989 Q3","45587"
"1989 Q4","46831"
"1990 Q1","52646"
"1990 Q2","53675"
"1990 Q3","54251"
"1990 Q4","56653"
"1991 Q1","55712"
"1991 Q2","61169"
"1991 Q3","60577"
"1991 Q4","62163"
"1992 Q1","64534"
"1992 Q2","65331"
"1992 Q3","66425"
"1992 Q4","72363"
"1993 Q1","69595"
"1993 Q2","69865"
"1993 Q3","68750"
"1993 Q4","70820"
"1994 Q1","73428"
"1994 Q2","71322"
"1994 Q3","72319"
"1994 Q4","72670"
"1995 Q1","78118"
"1995 Q2","73799"
"1995 Q3","74932"
"1995 Q4","77064"
"1996 Q1","80374"
"1996 Q2","76926"
"1996 Q3","76467"
"1996 Q4","77562"
"1997 Q1","81683"
"1997 Q2","76307"
"1997 Q3","78011"
"1997 Q4","79378"
"1998 Q1","83665"
